id,text,difficulty,category,status,group
w_4ee4e75379,8 березня,easy,holidays,core,
w_b1634aa448,абітурієнт,easy,people,core,
w_0fb1931951,абрикос,easy,food,core,
w_e0a9ab35cf,аванс,easy,work,core,
w_58b8d89467,аварія,easy,events,core,
w_823d4f967f,аватар,easy,internet,core,
w_f1b2fb0b90,авокадо,easy,food,core,
w_ec7b3cc207,автобус,easy,transport,core,
w_394d23ab94,автогол,medium,sports,core,
w_2f125e6f23,автомийка,easy,places,core,
w_dfb4fd93be,автостоп,easy,travel,core,
w_b40fc4669c,аґрус,easy,food,core,
w_3b81ef7ac2,адаптер,easy,technology,core,
w_6bc4f27db6,адвокат,easy,professions,core,
w_36ccf3908b,аджика,easy,food,core,
w_018163151a,адідас,easy,brands,core,
w_13120140ce,адміністратор,easy,professions,core,
w_1769b9c376,аеробіка,easy,sports,core,
w_ee073d54dd,аеропорт,easy,places,core,
w_523b83f49c,айран,easy,drinks,core,
w_740e04257c,айсберг,easy,nature,core,
w_fcfecac4f9,айфон,easy,brands,core,
w_98177fe577,академія,easy,places,core,
w_639e5f6de2,акаунт,easy,internet,core,
w_46fb0d9119,акація,easy,nature,core,
w_c94daa454d,аквапарк,easy,places,core,
w_590b42b921,акорд,easy,music,core,acord
w_469dc120a3,акордеон,easy,music,core,acord
w_fccc342a13,акробатика,medium,sports,core,
w_54125a228f,актовий зал,easy,places,core,
w_24efb4ddf3,акула,easy,animals,core,
w_ca8767293b,акумулятор,easy,technology,core,
w_20f0807f94,акуратність,easy,personality,core,
w_db386fe664,акушерка,easy,professions,core,
w_0c774b879b,алгебра,easy,school,core,
w_8a00dd9f22,алергія,easy,body,core,
w_eb031e599d,алея,easy,places,core,
w_4baaabe067,алігатор,easy,animals,core,
w_de66ed6955,алфавіт,easy,school,core,
w_1bde5d310a,альбатрос,medium,animals,core,
w_817dfcab1f,альбом,easy,school,core,
w_1dcb36fffe,альпака,medium,animals,reject,
w_c609256aab,альтанка,medium,places,core,
w_37a916bb1f,американо,easy,drinks,core,
w_e2435e4ab3,американські гірки,easy,games,core,
w_24572c1ff8,Амстердам,easy,cities,core,
w_23b90feceb,анаконда,easy,animals,core,
w_47da60c2ec,ананас,easy,food,core,pina
w_1cc88d8198,ананасовий сік,easy,drinks,core,pina
w_06d59fe9b6,ангел,easy,people,core,
w_a8a1553db7,англійська,easy,school,core,
w_a5cd9734ee,анкета,easy,work,core,
w_1dbf6d2d7b,анонс,easy,tv,core,
w_41c3adc6fc,ансамбль,easy,music,core,
w_20fba12342,антена,easy,technology,core,
w_580b41062b,антивірус,easy,technology,core,
w_5e8520bc41,антилопа,medium,animals,core,
w_5b6621350f,антракт,medium,movies,core,
w_5d02ec1656,аншлаг,easy,movies,core,
w_5307137d11,апельсин,easy,food,core,
w_147e7ba6cf,аптека,easy,places,core,apteka
w_392439cd27,аптекар,easy,professions,core,apteka
w_647c389f9f,аптечка,easy,body,core,apteka
w_f8df6797df,арахіс,easy,food,core,
w_287d81ebae,армреслінг,easy,sports,core,
w_446340c0b8,арфа,medium,music,core,
w_6bf118a1b4,архів,easy,work,core,
w_2b4d16cfb3,ательє,medium,places,core,
w_e34805afa7,атлас,easy,school,core,
w_6ded8e86f0,Афіни,easy,cities,core,
w_0d607328f5,афіша,easy,movies,core,
w_5900d1a4e8,бабак,medium,animals,core,
w_bd63c4e5e8,бабуїн,easy,animals,core,
w_55bb2203bc,бабуся,easy,family,core,
w_410427c585,бавовна,easy,nature,core,
w_0ccedf5e1a,багаж,easy,travel,core,bagaj
w_1367a26fd5,багажник,easy,transport,core,bagaj
w_f5f4fbd251,багатій,easy,people,core,
w_98f048c6b3,багатоніжка,easy,animals,core,
w_35c4fb5b8e,багет,easy,food,core,
w_9301c24929,бадмінтон,easy,sports,core,
w_3bff29d94c,бадьорість,easy,emotions,core,
w_b13f0d9239,базилік,easy,food,core,
w_b8b27548ef,байдарка,medium,transport,core,
w_cc3612a76e,байдужість,easy,emotions,core,
w_c3c874fb6c,Байрактар,easy,technology,core,bayraktar_root
w_7c37fee7e8,баклажан,easy,food,core,
w_9fbb8ad6d5,баклан,easy,animals,core,
w_ae2a0226ee,балаклава,easy,clothing,core,
