word,difficulty,category
капелюх,easy,загальне
слон,easy,тварини
книга,easy,предмети
сонце,easy,природа
місто,easy,місця
друг,easy,люди
музика,easy,культура
велосипед,easy,транспорт
кава,easy,їжа
окуляри,easy,предмети
парасолька,easy,предмети
гітара,easy,культура
рюкзак,easy,предмети
телефон,easy,техніка
піца,easy,їжа
кінотеатр,easy,місця
футбол,easy,спорт
бабуся,easy,люди
весілля,easy,події
подорож,easy,дії
кіт,easy,тварини
собака,easy,тварини
дерево,easy,природа
море,easy,природа
річка,easy,природа
школа,easy,місця
лікар,easy,професії
вчитель,easy,професії
машина,easy,транспорт
автобус,easy,транспорт
торт,easy,їжа
мед,easy,їжа
сад,easy,природа
квітка,easy,природа
зірка,easy,природа
місяць,easy,природа
дощ,easy,природа
сніг,easy,природа
зима,easy,природа
літо,easy,природа
крокодил,medium,тварини
архітектор,medium,професії
демократія,medium,поняття
філософія,medium,наука
революція,medium,історія
мікроскоп,medium,наука
супермаркет,medium,місця
екскурсія,medium,дії
перемога,medium,поняття
космонавт,medium,професії
бібліотека,medium,місця
фестиваль,medium,події
електрика,medium,професії
авіакомпанія,medium,транспорт
археологія,medium,наука
психологія,medium,наука
астрономія,medium,наука
біологія,medium,наука
хімія,medium,наука
географія,medium,наука
політика,medium,поняття
економіка,medium,поняття
технологія,medium,техніка
інтернет,medium,техніка
комп'ютер,medium,техніка
журналіст,medium,професії
режисер,medium,професії
актор,medium,професії
спортсмен,medium,спорт
олімпіада,medium,події
музей,medium,місця
ресторан,medium,місця
суб'єктивність,hard,поняття
експеримент,hard,наука
цивілізація,hard,історія
реставрація,hard,дії
інтуїція,hard,поняття
перспектива,hard,поняття
трансформація,hard,дії
парадигма,hard,поняття
гедонізм,hard,поняття
синергія,hard,поняття
гуманітаризм,hard,культура
категоричність,hard,поняття
миша,easy,загальне
кінь,easy,загальне
корова,easy,загальне
коза,easy,загальне
вівця,easy,загальне
свиня,easy,загальне
курка,easy,загальне
півень,easy,загальне
качка,easy,загальне
гуска,easy,загальне
кролик,easy,загальне
їжак,easy,загальне
ведмідь,easy,загальне
вовк,easy,загальне
лисиця,easy,загальне
білка,easy,загальне
заєць,easy,загальне
лев,easy,загальне
тигр,easy,загальне
жирафа,easy,загальне
зебра,easy,загальне
мавпа,easy,загальне
дельфін,easy,загальне
кит,easy,загальне
акула,easy,загальне
риба,easy,загальне
черепаха,easy,загальне
яблуко,easy,загальне
груша,easy,загальне
банан,easy,загальне
апельсин,easy,загальне
лимон,easy,загальне
мандарин,easy,загальне
полуниця,easy,загальне
малина,easy,загальне
вишня,easy,загальне
черешня,easy,загальне
кавун,easy,загальне
диня,easy,загальне
виноград,easy,загальне
слива,easy,загальне
персик,easy,загальне
огірок,easy,загальне
помідор,easy,загальне
морква,easy,загальне
картопля,easy,загальне
цибуля,easy,загальне
стіл,easy,загальне
стілець,easy,загальне
ліжко,easy,загальне
диван,easy,загальне
шафа,easy,загальне
дзеркало,easy,загальне
вікно,easy,загальне
двері,easy,загальне
лампа,easy,загальне
подушка,easy,загальне
ковдра,easy,загальне
зошит,easy,загальне
ручка,easy,загальне
олівець,easy,загальне
гумка,easy,загальне
